Total Parameters: 326208
Epoch: 094, Loss: 0.4868, Val: 0.9341, Test: 0.9354, Train A/P/R: 0.9108/1.0000/0.9108, Test A/P/R: 0.8687/0.8578/0.8839
Epoch: 095, Loss: 0.4912, Val: 0.9264, Test: 0.9283, Train A/P/R: 0.8528/1.0000/0.8528, Test A/P/R: 0.8635/0.8918/0.8274
Epoch: 096, Loss: 0.4869, Val: 0.9187, Test: 0.9209, Train A/P/R: 0.8214/1.0000/0.8214, Test A/P/R: 0.8551/0.9006/0.7982
Epoch: 097, Loss: 0.4889, Val: 0.9289, Test: 0.9306, Train A/P/R: 0.8879/1.0000/0.8879, Test A/P/R: 0.8662/0.8706/0.8604
Epoch: 098, Loss: 0.4870, Val: 0.9288, Test: 0.9306, Train A/P/R: 0.8931/1.0000/0.8931, Test A/P/R: 0.8657/0.8658/0.8655
Epoch: 099, Loss: 0.4883, Val: 0.9173, Test: 0.9195, Train A/P/R: 0.8344/1.0000/0.8344, Test A/P/R: 0.8559/0.8912/0.8107
Epoch: 100, Loss: 0.4882, Val: 0.9241, Test: 0.9261, Train A/P/R: 0.8563/1.0000/0.8563, Test A/P/R: 0.8623/0.8868/0.8307
Epoch: 101, Loss: 0.4859, Val: 0.9318, Test: 0.9333, Train A/P/R: 0.8956/1.0000/0.8956, Test A/P/R: 0.8682/0.8683/0.8680
Epoch: 102, Loss: 0.4880, Val: 0.9284, Test: 0.9301, Train A/P/R: 0.8699/1.0000/0.8699, Test A/P/R: 0.8661/0.8836/0.8432
Epoch: 103, Loss: 0.4864, Val: 0.9214, Test: 0.9235, Train A/P/R: 0.8373/1.0000/0.8373, Test A/P/R: 0.8590/0.8953/0.8130
Epoch: 104, Loss: 0.4874, Val: 0.9254, Test: 0.9273, Train A/P/R: 0.8682/1.0000/0.8682, Test A/P/R: 0.8639/0.8806/0.8420
Epoch: 105, Loss: 0.4857, Val: 0.9283, Test: 0.9301, Train A/P/R: 0.8911/1.0000/0.8911, Test A/P/R: 0.8657/0.8670/0.8640
Epoch: 106, Loss: 0.4873, Val: 0.9214, Test: 0.9235, Train A/P/R: 0.8579/1.0000/0.8579, Test A/P/R: 0.8606/0.8822/0.8324
Epoch: 107, Loss: 0.4864, Val: 0.9212, Test: 0.9233, Train A/P/R: 0.8515/1.0000/0.8515, Test A/P/R: 0.8599/0.8858/0.8263
Epoch: 108, Loss: 0.4865, Val: 0.9285, Test: 0.9303, Train A/P/R: 0.8833/1.0000/0.8833, Test A/P/R: 0.8664/0.8740/0.8563
Epoch: 109, Loss: 0.4861, Val: 0.9283, Test: 0.9301, Train A/P/R: 0.8804/1.0000/0.8804, Test A/P/R: 0.8663/0.8760/0.8533
Epoch: 110, Loss: 0.4859, Val: 0.9225, Test: 0.9244, Train A/P/R: 0.8539/1.0000/0.8539, Test A/P/R: 0.8608/0.8859/0.8282
Epoch: 111, Loss: 0.4862, Val: 0.9229, Test: 0.9249, Train A/P/R: 0.8643/1.0000/0.8643, Test A/P/R: 0.8619/0.8796/0.8385
Epoch: 112, Loss: 0.4853, Val: 0.9265, Test: 0.9284, Train A/P/R: 0.8867/1.0000/0.8867, Test A/P/R: 0.8645/0.8680/0.8598
Epoch: 113, Loss: 0.4860, Val: 0.9226, Test: 0.9246, Train A/P/R: 0.8681/1.0000/0.8681, Test A/P/R: 0.8617/0.8767/0.8418
Epoch: 114, Loss: 0.4852, Val: 0.9214, Test: 0.9234, Train A/P/R: 0.8576/1.0000/0.8576, Test A/P/R: 0.8605/0.8823/0.8321
Epoch: 115, Loss: 0.4854, Val: 0.9272, Test: 0.9290, Train A/P/R: 0.8798/1.0000/0.8798, Test A/P/R: 0.8653/0.8746/0.8530
Epoch: 116, Loss: 0.4855, Val: 0.9268, Test: 0.9286, Train A/P/R: 0.8764/1.0000/0.8764, Test A/P/R: 0.8649/0.8766/0.8494
Epoch: 117, Loss: 0.4855, Val: 0.9220, Test: 0.9240, Train A/P/R: 0.8573/1.0000/0.8573, Test A/P/R: 0.8610/0.8835/0.8316
Epoch: 118, Loss: 0.4855, Val: 0.9239, Test: 0.9258, Train A/P/R: 0.8713/1.0000/0.8713, Test A/P/R: 0.8629/0.8763/0.8450
Epoch: 119, Loss: 0.4846, Val: 0.9256, Test: 0.9275, Train A/P/R: 0.8826/1.0000/0.8826, Test A/P/R: 0.8641/0.8701/0.8559
Epoch: 120, Loss: 0.4850, Val: 0.9214, Test: 0.9233, Train A/P/R: 0.8634/1.0000/0.8634, Test A/P/R: 0.8609/0.8784/0.8377
Epoch: 121, Loss: 0.4850, Val: 0.9237, Test: 0.9256, Train A/P/R: 0.8693/1.0000/0.8693, Test A/P/R: 0.8625/0.8774/0.8428
Epoch: 122, Loss: 0.4847, Val: 0.9267, Test: 0.9285, Train A/P/R: 0.8811/1.0000/0.8811, Test A/P/R: 0.8649/0.8726/0.8544
Epoch: 123, Loss: 0.4851, Val: 0.9235, Test: 0.9254, Train A/P/R: 0.8671/1.0000/0.8671, Test A/P/R: 0.8623/0.8785/0.8409
Epoch: 124, Loss: 0.4847, Val: 0.9225, Test: 0.9245, Train A/P/R: 0.8673/1.0000/0.8673, Test A/P/R: 0.8615/0.8767/0.8413
Epoch: 125, Loss: 0.4844, Val: 0.9253, Test: 0.9272, Train A/P/R: 0.8825/1.0000/0.8825, Test A/P/R: 0.8635/0.8691/0.8559
Epoch: 126, Loss: 0.4849, Val: 0.9217, Test: 0.9237, Train A/P/R: 0.8668/1.0000/0.8668, Test A/P/R: 0.8609/0.8760/0.8409
Epoch: 127, Loss: 0.4846, Val: 0.9235, Test: 0.9254, Train A/P/R: 0.8706/1.0000/0.8706, Test A/P/R: 0.8625/0.8761/0.8444
Epoch: 128, Loss: 0.4842, Val: 0.9261, Test: 0.9279, Train A/P/R: 0.8790/1.0000/0.8790, Test A/P/R: 0.8644/0.8732/0.8525
Epoch: 129, Loss: 0.4845, Val: 0.9228, Test: 0.9247, Train A/P/R: 0.8652/1.0000/0.8652, Test A/P/R: 0.8617/0.8787/0.8391
Epoch: 130, Loss: 0.4844, Val: 0.9240, Test: 0.9259, Train A/P/R: 0.8737/1.0000/0.8737, Test A/P/R: 0.8626/0.8740/0.8473
Epoch: 131, Loss: 0.4843, Val: 0.9241, Test: 0.9260, Train A/P/R: 0.8779/1.0000/0.8779, Test A/P/R: 0.8627/0.8711/0.8514
Epoch: 132, Loss: 0.4843, Val: 0.9210, Test: 0.9230, Train A/P/R: 0.8661/1.0000/0.8661, Test A/P/R: 0.8605/0.8757/0.8402
